name,url,gvkey,paragraphs,words,tracking_cookies,g_fog,legal_quality
SHERWIN-WILLIAMS CO,www.sherwin-williams.com,9667.0,95.0,4685.0,8.0,17.429251,1.2841743
SHIFTPIXY INC,www.shiftpixy.com,29558.0,51.0,3435.0,0.0,17.832209,-0.085662059
SHILOH INDUSTRIES INC,www.shiloh.com,28518.0,32.0,1588.0,0.0,16.756172,0.60427397
SHINHAN FINANCIAL GROUP LTD,www.shinhangroup.com,25714.0,13.0,886.0,0.0,20.667402,-0.02420225
SHIRE PLC,www.shire.com,212340.0,78.0,4164.0,28.0,17.619522,1.052141
SHOAL GAMES LTD,www.shoalgames.com,114881.0,30.0,2366.0,1.0,17.044106,0.32352972
SHOE CARNIVAL INC,www.shoecarnival.com,27938.0,21.0,1132.0,28.0,18.043615,-0.61614001
SHOPIFY INC,www.shopify.ca,23650.0,11.0,424.0,5.0,15.200486999999999,0.031051742
VILLAGE SUPER MARKET  -CL A,www.shoprite.com,11178.0,39.0,2309.0,11.0,17.01428,0.011151908
SEARS HOMETOWN & OUTLET STR,www.shos.com,12976.0,89.0,5804.0,1.0,18.806585000000002,-0.33297125
SHOTSPOTTER INC,www.shotspotter.com,31457.0,15.0,1408.0,1.0,17.30151,-0.32769111
SUMMIT HOTEL PROPERTIES INC,www.shpreit.com,185396.0,16.0,963.0,0.0,17.062828,-0.43117079
SHUTTERFLY INC,www.shutterfly.com,175376.0,32.0,2211.0,5.0,16.360212,-0.12031275
SHUTTERSTOCK INC,www.shutterstock.com,3382.0,40.0,780.0,13.0,17.278309,0.33742672
SIEBERT FINANCIAL CORP,www.siebertnet.com,7315.0,14.0,887.0,1.0,18.748739,-0.19856836
SIEMENS AG,www.siemens.com,19349.0,14.0,578.0,0.0,17.130434,0.40928128
SIERRA METALS INC,www.sierrametals.com,107258.0,4.0,164.0,1.0,16.943724,-0.27438411
SIERRA WIRELESS INC,www.sierrawireless.com,120334.0,41.0,2442.0,7.0,18.240807999999998,0.32942465
SIGMA DESIGNS INC,www.sigmadesigns.com,12234.0,8.0,501.0,1.0,17.839920000000003,-0.78903455
SIGNATURE BANK/NY,www.signatureny.com,160776.0,3.0,91.0,0.0,16.076191,-0.35493299
SILICON LABORATORIES INC,www.silabs.com,133288.0,36.0,1948.0,4.0,19.464888000000002,1.0519106000000003
SILGAN HOLDINGS INC,www.silganholdings.com,64389.0,21.0,4825.0,0.0,18.185485999999997,-0.89237344
SILICON MOTION TECH -ADR,www.siliconmotion.com,164211.0,23.0,2118.0,0.0,19.41197,0.37229565
SILVERCREST ASSET MGT,www.silvercrestgroup.com,14551.0,24.0,1977.0,0.0,16.123182,-0.92935222
SILVERSUN TECHNOLOGIES INC,www.silversuntech.com,170655.0,19.0,805.0,0.0,19.787764000000003,-0.69176424
SIMMONS FIRST NATL CP  -CL A,www.simmonsbank.com,19355.0,16.0,467.0,4.0,15.045717999999999,-0.73841661
SIMON PROPERTY GROUP INC,www.simon.com,29389.0,53.0,7320.0,8.0,17.322939,0.93665498
SIMPSON MANUFACTURING INC,www.simpsonmfg.com,30260.0,22.0,2294.0,1.0,18.17079,0.34430507
SIMULATIONS PLUS INC,www.simulations-plus.com,64929.0,42.0,2424.0,0.0,17.95867,0.79401827
SINA CORP,www.sina.com,134044.0,5.0,625.0,3.0,21.036184,-0.36155847
CHINA PETROLEUM & CHEM CORP,www.sinopec.com,140756.0,10.0,731.0,1.0,13.706899,-0.33153501
SIR ROYALTY INCOME FUND,www.sircorp.com,162031.0,20.0,845.0,0.0,17.042501,0.044705492
SIRIUS XM HOLDINGS INC,www.siriusxm.com,30662.0,43.0,2643.0,12.0,22.349283,0.94017494
SITO MOBILE LTD,www.sitomobile.com,149360.0,8.0,518.0,11.0,22.359669,-0.33729499999999996
SIX FLAGS ENTERTAINMENT CORP,www.sixflags.com,10567.0,42.0,2973.0,9.0,15.844714000000002,0.57084167
SOUTH JERSEY INDUSTRIES INC,www.sjindustries.com,9831.0,5.0,137.0,0.0,13.392960999999998,-0.67898566
SJW GROUP,www.sjwgroup.com,9324.0,10.0,681.0,2.0,16.999861,0.11598869
SKF AB,www.skf.com,11749.0,13.0,533.0,0.0,18.871727,0.67181849
SKYWEST INC,www.skywest.com,12392.0,71.0,3347.0,3.0,18.801579,-0.30629715
SKYWORKS SOLUTIONS INC,www.skyworksinc.com,1327.0,30.0,6907.0,0.0,16.383038,-0.54384518
SLATE OFFICE REIT,www.slateofficereit.com,16909.0,22.0,1185.0,0.0,20.239979,0.67749256
SCHLUMBERGER LTD,www.slb.com,9465.0,15.0,1183.0,1.0,18.072828,-0.59508133
SLEEP NUMBER CORPORATION,www.sleepnumber.com,116504.0,72.0,7047.0,16.0,18.866354,0.24497937
SCOTT'S LIQUID GOLD,www.slginc.com,9521.0,25.0,1781.0,0.0,18.541408999999998,0.24508871
SL GREEN REALTY CORP,www.slgreen.com,65290.0,6.0,308.0,1.0,16.010754000000002,-0.15812778
SMART & FINAL STORES INC,www.smartandfinal.com,19843.0,26.0,1534.0,7.0,17.771407999999997,0.27867278
SMARTFINANCIAL INC,www.smartbank.com,26179.0,15.0,445.0,1.0,14.631145000000002,-0.46380463
SMARTCENTRES REIT,www.smartcentres.com,105728.0,13.0,668.0,0.0,22.117775,0.20490126
RESEARCH FRONTIERS INC,www.smartglass.com,12377.0,35.0,1472.0,2.0,18.219845,0.99752951
SMART GLOBAL HOLDINGS INC,www.smartm.com,31494.0,8.0,574.0,1.0,16.430982999999998,-0.75334477
SMART SAND INC,www.smartsand.com,22284.0,17.0,637.0,0.0,13.615262,-0.16836941
SMARTSHEET INC,www.smartsheet.com,33275.0,96.0,6447.0,7.0,15.532526,1.4480737
SOUTHERN MICH BANCORP INC,www.smb-t.com,61796.0,21.0,1166.0,1.0,14.942697,-0.31003019
SMITH MICRO SOFTWARE INC,www.smithmicro.com,61321.0,78.0,5882.0,2.0,16.271721,1.0367965000000001
STANDARD MOTOR PRODS,www.smpcorp.com,10000.0,10.0,485.0,0.0,16.847611999999998,-0.21139717
SMTC CORP,www.smtc.com,137874.0,3.0,179.0,0.0,12.906322,-6.771567299999999
SNAP INC,www.snap.com,30091.0,72.0,3577.0,0.0,13.595920999999999,0.98160195
SNC-LAVALIN GROUP INC,www.snclavalin.com,14352.0,46.0,2118.0,0.0,17.517822,0.96912909
SENIOR HOUSING PPTYS TRUST,www.snhreit.com,124046.0,27.0,473.0,1.0,17.014313,0.039718837
SNIPP INTERACTIVE INC,www.snipp.com,170843.0,32.0,3147.0,1.0,18.476826000000003,0.59318364
SOUTHERN BANC CO INC,www.sobanco.com,61394.0,1.0,59.540001000000004,0.0,12.892307,-0.45956507
SOCIETE GENERALE GROUP,www.societegenerale.com,15784.0,23.0,676.0,14.0,23.998549,0.53526247
SOCKET MOBILE INC,www.socketmobile.com,60801.0,15.0,1038.0,1.0,18.170876999999997,0.32489464
SODASTREAM INTERNATIONAL LTD,www.sodastream.com,185769.0,64.0,3824.0,13.0,19.182991,1.1245348
SOLAR CAPITAL LTD,www.solarcapltd.com,184287.0,16.0,998.0,2.0,17.249987,-0.68227977
SOLAREDGE TECHNOLOGIES INC,www.solaredge.com,23119.0,20.0,1325.0,2.0,18.350946,0.18631981
SOLAR SENIOR CAPITAL LTD,www.solarseniorcap.com,186591.0,16.0,1046.0,1.0,17.311878,-0.68227977
SOLENO THERAPEUTICS INC,www.soleno.life,20898.0,18.0,1029.0,0.0,17.50507,-0.68227977
SOLIUM CAPITAL INC,www.solium.com,143609.0,24.0,2122.0,5.0,19.04925,-0.16791479
SOMERSET TRUST HOLDING CO,www.somersettrust.com,19366.0,17.0,446.0,2.0,16.502972,-0.36912492
SOUTHERN NATIONAL BANCORP VA,www.sonabank.com,175607.0,9.0,460.0,1.0,16.652723,-0.13502602
SONIC AUTOMOTIVE INC  -CL A,www.sonicautomotive.com,65831.0,40.0,2573.0,1.0,17.885561,-0.2787897
SONIC FOUNDRY INC,www.sonicfoundry.com,109186.0,48.0,2375.0,4.0,18.005262,0.18381026
SONO-TEK CORP,www.sono-tek.com,13176.0,16.0,1768.0,0.0,17.479204,-0.018163771999999998
SORRENTO THERAPEUTICS INC,www.sorrentotherapeutics.com,183602.0,10.0,546.0,0.0,17.307758,0.37851888
SOTHEBY'S,www.sothebys.com,14412.0,13.0,1034.0,8.0,19.796972,0.22326288
SOUND FINANCIAL BANCORP INC,www.soundcb.com,179234.0,25.0,806.0,0.0,15.859129000000001,-0.59051597
SOUTHERN BANCSHARES NC INC,www.southernbank.com,64628.0,7.0,564.0,0.0,15.911123000000002,-0.35675779
SOUTHERN CO,www.southerncompany.com,9850.0,15.0,1327.0,4.0,16.069267,-0.88089061
SOUTHERN COPPER CORP,www.southerncoppercorp.com,61811.0,112.0,6444.0,0.0,21.350153,-0.3103241
SOUTHERN FIRST BANKSHARES,www.southernfirst.com,125580.0,4.0,207.0,1.0,12.531208,-0.30308452
SOUTHSIDE BANCSHARES INC,www.southside.com,62979.0,17.0,497.0,1.0,14.905895000000001,-0.46982455
SOUTH STATE CORP,www.southstatebank.com,64547.0,27.0,809.0,3.0,13.327907999999999,-0.16952328
SOUTHWEST AIRLINES,www.southwest.com,9882.0,85.0,5216.0,14.0,18.551336,0.89949387
SPANISH BROADCASTING SYS INC,www.spanishbroadcasting.com,117145.0,79.0,4330.0,0.0,21.728315,-0.11057065
SPARK ENERGY INC,www.sparkenergy.com,20740.0,43.0,2377.0,3.0,19.912809,0.69186246
SPARK THERAPEUTICS INC,www.sparktx.com,22709.0,80.0,3613.0,1.0,19.71504,1.544921
SPARTAN MOTORS INC,www.spartanmotors.com,9919.0,10.0,874.0,16.0,17.621954000000002,0.22648977
SPARTANNASH CO,www.spartannash.com,28762.0,44.0,2990.0,0.0,15.689532,0.6536265
SPARTON CORP,www.sparton.com,9922.0,15.0,901.0,1.0,17.978439,-0.18085003
STRAIGHT PATH COMMUNICATIONS,www.spathinc.com,18386.0,4.0,135.0,0.0,14.296296,-0.25334229999999996
SPECTRA ENERGY PARTNERS LP,www.spectraenergypartners.com,177739.0,23.0,902.0,0.0,16.772427,-1.0013100000000001
SPECTRAL MEDICAL INC,www.spectraldx.com,25578.0,19.0,1309.0,1.0,19.016972,0.32568511
SPEEDWAY MOTORSPORTS INC,www.speedwaymotorsports.com,31560.0,23.0,1602.0,1.0,16.946262,0.25404635
S&P GLOBAL INC,www.spglobal.com,7163.0,159.92,9791.4697,6.0,19.587067,0.18539032
SPHERE 3D CORP,www.sphere3d.com,16972.0,25.0,1211.0,0.0,16.35363,-0.61379951
SPHERIX INC,www.spherix.com,18738.0,3.0,179.0,0.0,12.906322,-6.771567299999999
SPIN MASTER CORP,www.spinmaster.com,25507.0,30.0,1503.0,0.0,11.837566,0.44798601
SPIRE INC,www.spireenergy.com,6547.0,27.0,2598.0,4.0,17.671467,0.52297574
SPIRIT AIRLINES INC,www.spirit.com,185624.0,2.0,59.540001000000004,7.0,12.892307,-0.42999536
