Company,alpha_a,alpha_b,beta_a,std,alpha_adj,date,search_pressure
Nucor,1.0,0.6127176628978782,-0.19420873238730868,0.9384406374137187,1.38079042173722,2021-07-13,1.152316168694888
Snap-on,0.6643070002169364,-0.19988275025594313,0.2771177018762364,0.7825134452199457,0.7850137625503568,2021-07-13,0.7125897051503046
Nvidia,0.63103570327575,-0.6103821794719145,0.5446330551609333,0.9736529903806066,0.5813683241188214,2021-07-13,0.6111687516129786
The_Hershey_Company,0.6071269538609088,-1.0479913833946628,0.8323100548253849,0.815098784034473,0.585220506402699,2021-07-13,0.5983643748776248
Wabtec,0.5239829647305986,-0.43761224717463937,0.40591731383949803,0.5924140837998058,0.6706526201005585,2021-07-13,0.5826508268785825
Old_Dominion_Freight_Line,0.5115947158695174,0.10383870017993484,0.040919024437525015,0.8775395964670472,0.6436363113606052,2021-07-13,0.5644113540659526
Hess_Corporation,0.4976308187661986,0.1949413153404502,-0.02305795785398591,0.7356071682517208,0.617973089865067,2021-07-13,0.545767727205746
United_Rentals,0.49962892342121173,0.051148323810873426,0.07359575919543997,0.7187191724996229,0.6099859635807454,2021-07-13,0.5437717394850252
Catalent,0.4847516070470291,0.08133777323026874,0.050183155147750104,0.7436213464633723,0.595419266642604,2021-07-13,0.5290186708852591
Vulcan_Materials_Company,0.4761083771964876,-0.051447841723948756,0.1371745602654157,0.6696499613560156,0.5788308922396106,2021-07-13,0.5171973832137368
Ross_Stores,0.46711119737848733,-0.1222452634135048,0.18260870100923304,0.7960381451685848,0.552408005644389,2021-07-13,0.501229920684848
Tyler_Technologies,0.4278341687313758,-0.25505910654611796,0.2630080404267909,0.6832396944009944,0.5165757031474064,2021-07-13,0.46333078249778803
"NVR,_Inc.",0.42068666293687146,0.25666913506254985,-0.08096960721137167,0.6782488918812332,0.5138026121617888,2021-07-13,0.4579330426268384
Cabot_Oil_%26_Gas,0.4111185960745803,-0.05792466100724651,0.12748349878697435,0.5832771959336076,0.5048159610138431,2021-07-13,0.4485975420502854
CSX_Transportation,0.4250368222143565,-0.24093931599153964,0.2529557614296899,0.8441992155332378,0.47459180209287366,2021-07-13,0.4448588141657634
Xcel_Energy,0.39329550255186485,0.3394140605907883,-0.14225152485542053,0.7647203832678802,0.5106008281979395,2021-07-13,0.4402176328102947
Anthem_(company),0.41877990020894557,-0.3081739813837761,0.29659716258402563,0.9759205623435949,0.41462373758125187,2021-07-13,0.41711743515786814
Pioneer_Natural_Resources,0.3891622803512098,0.42996430760327964,-0.20373735892700096,0.6303879063639589,0.4564692211054695,2021-07-13,0.4160850566529137
Paycom,0.3629928182409831,-0.25484386905638023,0.24887086155409388,0.5971437677633968,0.45968525163534835,2021-07-13,0.4016697915987292
Analog_Devices,0.36489958096890956,0.10962223316747019,0.0053911560644498225,0.7662326705791729,0.45428687350812286,2021-07-13,0.4006544979845949
First_Republic_Bank,0.3457063585398978,0.45230563347291286,-0.2280656360364889,0.7964863481099703,0.477895984737816,2021-07-13,0.3985822090190651
Maxim_Integrated,0.34954271947752463,0.021536488151749182,0.06102173424658271,0.7118871837968536,0.42589600362333035,2021-07-13,0.38008403313584693
Ameriprise_Financial,0.35417832227715446,-0.13124408236247678,0.16425889213211137,0.7606516551317722,0.41860618593399723,2021-07-13,0.3799494677398916
Stanley_Black_%26_Decker,0.3492915291780372,-0.153903713898303,0.1783675268120326,0.6860053361770307,0.42208028699837086,2021-07-13,0.3784070323061707
Edison_International,0.3376568512154181,0.06612757304132875,0.028617504120426164,0.47616258742088463,0.39776183161506695,2021-07-13,0.36169884337527763
Dollar_Tree,0.32818012628021404,-0.17077853563243536,0.18510375095335502,0.6159571762137436,0.408091612667496,2021-07-13,0.36014472083512683
Alliant_Energy,0.3468138794058195,-0.49668957035072975,0.40721617728777576,0.7559746603219959,0.37854532746222425,2021-07-13,0.3595064586283814
Howmet_Aerospace,0.3403400203235786,-0.6124300886968178,0.48326961201665314,0.7485273536401797,0.3651889587583822,2021-07-13,0.3502795956975
MarketAxess,0.3163513467225377,-0.043264751858989904,0.0972221366580945,0.5739242130618687,0.38874279471664436,2021-07-13,0.34530792592018034
Hilton_Worldwide,0.3153580032654736,0.03796831536948067,0.04264872037821234,0.6366233408212335,0.38217823941955886,2021-07-13,0.3420860977271077
NetApp,0.30824475069362794,0.026589233470433897,0.04872822273177391,0.750261104735654,0.3769218411030038,2021-07-13,0.3357155868573783
Incyte,0.35057031615724443,-0.9310709594653703,0.6987035186570173,0.7958777277218825,0.30825519524712974,2021-07-13,0.33364426779319856
Capital_One,0.30594978477558404,-0.06964693869043019,0.11263168832534327,0.9065170878043235,0.35544533306479226,2021-07-13,0.32574800409126736
CF_Industries,0.2776109518970573,-0.16598144554010347,0.1709805361461887,0.725988425356364,0.3280908797572132,2021-07-13,0.29780292304111966
D._R._Horton,0.27015516709863807,0.021736821086056426,0.043755372571536284,0.7190303463601904,0.329539973664451,2021-07-13,0.2939090897249632
A._O._Smith,0.26924174782777505,0.020625341087256274,0.04430202466628973,0.37947225719176697,0.321370517231796,2021-07-13,0.2900932555893834
Live_Nation_Entertainment,0.2875558042085788,-0.32222896301711446,0.2776834518841421,0.86264977196851,0.28726851462435765,2021-07-13,0.28744088837489035
Intuit,0.2518753639404905,0.08649849399494332,-0.003526337254360844,0.49838808415034885,0.29145884539015987,2021-07-13,0.26770875652035825
The_Travelers_Companies,0.23293333181096726,0.6691760754207138,-0.39752675864057285,0.6811054056827327,0.2911860154929986,2021-07-13,0.25623440528377983
